instance_name,lat,long
fido.stephenbasile.com,39.8918,-75.2759
fierce-reef-65367.herokuapp.com,53.3389,-6.2595
fivewords.uk,51.5,-3.2
fla.red,56,24
flashfic.stream,37.3688,-122.0363
flower.afn.social,35.685,139.7514
fnordica.de,51,9
fo0bar.org,37.751,-97.822
foodon.jp,34.6864,135.52
foresdon.jp,35.685,139.7514
forexdon.org,29.4889,-98.3987
forum.manga.tokyo,45.8696,-119.688
fosstodon.org,46,2
fox.masto.host,46,2
fr.osm.social,50.8333,4.3333
framapiaf.org,51.2993,9.491
freehold.earth,32.7787,-96.8218
freeradical.zone,40.7214,-74.0052
frell.co,37.567,-121.9829
friendica.me,51.4964,-0.1224
friendica.sonatagreen.com,49.274,-122.7649
friends.nico,35.685,139.7514
friends.tennis,37.7697,-122.3933
friloux.me,48.8582,2.3387
from.komic.eu,46,2
frontend.social,37.567,-121.9829
frootmig.net,51,9
fsdon.com,34.6864,135.52
ftb.moe,34.6864,135.52
fucktodon.tokyo,35.69,139.69
fudanshi.org,37.7353,-122.3732
fukuoka.m.to,35.685,139.7514
fullstackgeek.tech,34.6864,135.52
functional.cafe,51.2993,9.491
funfunmstdn.tokyo,34.6864,135.52
fur.cloud,52.3824,4.8995
furry.wtf,41.1767,-95.9956
furstdn.jp,33.6064,130.4181
fuzjkodon.m.to,35.685,139.7514
fvhp-run.herokuapp.com,39.0481,-77.4729
fx-don.net,35.1802,136.9067
g0v.social,35.5833,139.7483
gadget.inpocket.net,35.685,139.7514
gamba.osaka.jp,35.685,139.7514
gamecluster.net,35.685,139.7514
gamecreate.mstdn.cloud,35.685,139.7514
gamejam.site,34.6864,135.52
gamelinks007.net,35.69,139.69
gamemaking.social,46,2
gamers.social,35.69,139.69
games-community.xyz,34.6864,135.52
gazette.live,37.567,-121.9829
gbtdn.tokyo,37.751,-97.822
gdrsocial.it,46,2
geeks.one,49.9896,8.4225
gelt.cz,51.5142,-0.0931
gender.town,40.7357,-74.1724
gensokyo.cloud,35.69,139.69
gentleman-loser.com,34.6864,135.52
gigamastodon.com,35.69,139.69
gingadon.com,34.6864,135.52
gla.fit,48.8582,2.3387
glamdon.com,48.8582,2.3387
gldon.hostdon.jp,35.69,139.69
glitch.social,45.4987,-73.5793
go-newbie.club,35.69,139.69
golfdn.com,35.69,139.69
gonext.gg,51.2993,9.491
gonsphere.tk,35.5833,139.7483
googoldon.net,34.6864,135.52
gouhuoapp.com,39.9289,116.3883
gradiect.m.to,35.685,139.7514
grimoire.kanzakiranko.jp,35.69,139.69
guimik.fr,48.8763,2.3183
gundam.masto.host,48.8582,2.3387
gunmastodon.com,34.6864,135.52
guu.so,48.8582,2.3387
gyudn.com,35.685,139.7514
h.ftqq.com,22.25,114.1667
h.kher.nl,48.9193,2.5431
hackers.social,48.8582,2.3387
hackers.town,29.4241,-98.4936
hakuhodon.com,34.6864,135.52
hamtter.net,34.6864,135.52
handon.club,35.685,139.7514
happy-oss.y-zu.org,37.751,-97.822
happy-social-life.fudanchii.net,46,25
haruhi-mstdn.club,34.6864,135.52
hatabowyou.club,35.685,139.7514
haupt.bahnhof.cz,51.2993,9.491
haxors.com,40.7308,-73.9975
hckr.no,60.3404,5.2853
hdhdhd.m.to,35.685,139.7514
hearthtodon.com,35.685,139.7514
helloproject.m.to,35.685,139.7514
hemohemo.m.to,35.685,139.7514
hex.bz,45.504,-73.5748
hfukuchi.masto.host,46,2
hige.alterna-cloud.com,37.4192,-122.0574
high.cat,48.8582,2.3387
hikarin.m.to,35.685,139.7514
himastdon.club,37.751,-97.822
hispagatos.space,40.7214,-74.0052
hitb-masto.herokuapp.com,39.0481,-77.4729
hitlers.win,51.2993,9.491
hodl.city,37.567,-121.9829
hodl.social,51.5142,-0.0931
hojiro.herokuapp.com,39.0481,-77.4729
hokutodon.co,50.1167,8.6833
home.aqraf.tokyo,35.685,139.7514
home.m.to,35.685,139.7514
homex.bounceme.net,48.8582,2.3387
horiedon.com,34.6864,135.52
hostux.social,48.8582,2.3387
howl.m.to,35.685,139.7514
hqpf.site,35.6047,140.1233
hsj.life,35.685,139.7514
hub.sakuragawa.moe,37.751,-97.822
humuu.m.to,35.685,139.7514
huwa.m.to,35.685,139.7514
hwdon.jp,35.69,139.69
i-kaohsiung.com,23.5,121
i-n-t-e-r-n-e-t-2-0-0-0.net,34.6864,135.52
i.write.codethat.sucks,51.5142,-0.0931
iamastodon.gifu.jp,35.69,139.69
ichiji.social,37.4192,-122.0574
icmstdn.com,40.7904,-74.0247
icosahedron.website,52.3613,4.6464
icosahedron.website.,52.3613,4.6464
idoldon.com,34.6864,135.52
idolish7.fun,40.7214,-74.0052
ieji.de,51.2993,9.491
ifrit.gaia.ff14-mstdn.xyz,35.685,139.7514
igouv.fr,46,2
igreally.masto.host,48.8582,2.3387
igreally.social,40.8326,-74.1307
ika.julika.jp,35.69,139.69
ika.moe,51.4964,-0.1224
ika.queloud.net,45.8696,-119.688
ilove.mochi.academy,45.504,-73.5748
im-in.space,51.4964,-0.1224
im.notreal.pw,48.8582,2.3387
imaginair.es,48.8582,2.3387
imastodon.net,45.8696,-119.688
inari.opencocon.org,35.685,139.7514
indyjp.club,35.685,139.7514
infinimatix.net,48.8582,2.3387
infosec.exchange,37.751,-97.822
innocent.yukimochi.io,35.685,139.7514
insolente.im,45.8696,-119.688
insoumis-es.net,48.8582,2.3387
insoumis.social,51.4964,-0.1224
instance.business,33.749,-84.388
interfesse.net,48.8582,2.3387
intersect.hackershack.net,29.4821,-98.4556
introvert.party,51.2993,9.491
io.bennyp.org,50.1167,8.6833
iomstdn.tokyo,34.6864,135.52
ipno.us,45.504,-73.5748
ipv6.social.konosuke.jp,36,138
is.a.qute.dog,40.7214,-74.0052
iscute.ovh,52.186,20.9933
ishikaridon.jp,34.6864,135.52
iwami-mastodon.herokuapp.com,39.0481,-77.4729
iwatedon.net,35.685,139.7514
iyher.club,34.6864,135.52
janogdon.net,34.6864,135.52
